Date/Time	Counts	Val 1	Val 2
27.02.2023 12:23:21	4	3.7 cps	222.0 cpm
27.02.2023 12:23:22	7	4.3 cps	258.0 cpm
27.02.2023 12:23:23	3	4.1 cps	246.0 cpm
27.02.2023 12:23:24	0	3.9 cps	234.0 cpm
27.02.2023 12:23:25	3	3.3 cps	198.0 cpm
27.02.2023 12:23:26	5	3.3 cps	198.0 cpm
27.02.2023 12:23:27	6	3.8 cps	228.0 cpm
27.02.2023 12:23:28	5	3.8 cps	228.0 cpm
27.02.2023 12:23:29	6	4.2 cps	252.0 cpm
27.02.2023 12:23:30	4	4.3 cps	258.0 cpm
27.02.2023 12:23:31	3	4.2 cps	252.0 cpm
27.02.2023 12:23:32	6	4.1 cps	246.0 cpm
27.02.2023 12:23:33	3	4.1 cps	246.0 cpm
27.02.2023 12:23:34	3	4.4 cps	264.0 cpm
27.02.2023 12:23:35	3	4.4 cps	264.0 cpm
27.02.2023 12:23:36	3	4.2 cps	252.0 cpm
27.02.2023 12:23:37	3	3.9 cps	234.0 cpm
27.02.2023 12:23:38	4	3.8 cps	228.0 cpm
27.02.2023 12:23:39	6	3.8 cps	228.0 cpm
27.02.2023 12:23:40	9	4.3 cps	258.0 cpm
27.02.2023 12:23:41	2	4.2 cps	252.0 cpm
27.02.2023 12:23:42	4	4.0 cps	240.0 cpm
27.02.2023 12:23:43	3	4.0 cps	240.0 cpm
27.02.2023 12:23:44	3	4.0 cps	240.0 cpm
27.02.2023 12:23:45	7	4.4 cps	264.0 cpm
27.02.2023 12:23:46	3	4.4 cps	264.0 cpm
27.02.2023 12:23:47	5	4.6 cps	276.0 cpm
27.02.2023 12:23:48	1	4.3 cps	258.0 cpm
27.02.2023 12:23:49	5	4.2 cps	252.0 cpm
27.02.2023 12:23:50	5	3.8 cps	228.0 cpm
27.02.2023 12:23:51	4	4.0 cps	240.0 cpm
27.02.2023 12:23:52	4	4.0 cps	240.0 cpm
27.02.2023 12:23:53	3	4.0 cps	240.0 cpm
27.02.2023 12:23:54	3	4.0 cps	240.0 cpm
27.02.2023 12:23:55	5	3.8 cps	228.0 cpm
27.02.2023 12:23:56	4	3.9 cps	234.0 cpm
27.02.2023 12:23:57	1	3.5 cps	210.0 cpm
27.02.2023 12:23:58	2	3.6 cps	216.0 cpm
27.02.2023 12:23:59	3	3.4 cps	204.0 cpm
27.02.2023 12:24:00	5	3.4 cps	204.0 cpm
27.02.2023 12:24:01	2	3.2 cps	192.0 cpm
27.02.2023 12:24:02	6	3.4 cps	204.0 cpm
27.02.2023 12:24:03	3	3.4 cps	204.0 cpm
27.02.2023 12:24:04	3	3.4 cps	204.0 cpm
27.02.2023 12:24:05	4	3.3 cps	198.0 cpm
27.02.2023 12:24:06	8	3.7 cps	222.0 cpm
27.02.2023 12:24:07	2	3.8 cps	228.0 cpm
27.02.2023 12:24:08	4	4.0 cps	240.0 cpm
27.02.2023 12:24:09	7	4.4 cps	264.0 cpm
27.02.2023 12:24:10	2	4.1 cps	246.0 cpm
27.02.2023 12:24:11	2	4.1 cps	246.0 cpm
27.02.2023 12:24:12	1	3.6 cps	216.0 cpm
27.02.2023 12:24:13	5	3.8 cps	228.0 cpm
27.02.2023 12:24:14	5	4.0 cps	240.0 cpm
27.02.2023 12:24:15	7	4.3 cps	258.0 cpm
27.02.2023 12:24:16	3	3.8 cps	228.0 cpm
27.02.2023 12:24:17	5	4.1 cps	246.0 cpm
27.02.2023 12:24:18	4	4.1 cps	246.0 cpm
27.02.2023 12:24:19	4	3.8 cps	228.0 cpm
27.02.2023 12:24:20	2	3.8 cps	228.0 cpm
27.02.2023 12:24:21	6	4.2 cps	252.0 cpm
27.02.2023 12:24:22	4	4.5 cps	270.0 cpm
27.02.2023 12:24:23	5	4.5 cps	270.0 cpm
27.02.2023 12:24:24	2	4.2 cps	252.0 cpm
27.02.2023 12:24:25	9	4.4 cps	264.0 cpm
27.02.2023 12:24:26	7	4.8 cps	288.0 cpm
27.02.2023 12:24:27	4	4.7 cps	282.0 cpm
27.02.2023 12:24:28	4	4.7 cps	282.0 cpm
27.02.2023 12:24:29	0	4.3 cps	258.0 cpm
27.02.2023 12:24:30	5	4.6 cps	276.0 cpm
27.02.2023 12:24:31	2	4.2 cps	252.0 cpm
27.02.2023 12:24:32	3	4.1 cps	246.0 cpm
27.02.2023 12:24:33	2	3.8 cps	228.0 cpm
27.02.2023 12:24:34	5	4.1 cps	246.0 cpm
27.02.2023 12:24:35	5	3.7 cps	222.0 cpm
27.02.2023 12:24:36	1	3.1 cps	186.0 cpm
27.02.2023 12:24:37	4	3.1 cps	186.0 cpm
27.02.2023 12:24:38	3	3.0 cps	180.0 cpm
27.02.2023 12:24:39	6	3.6 cps	216.0 cpm
27.02.2023 12:24:40	4	3.5 cps	210.0 cpm
27.02.2023 12:24:41	8	4.1 cps	246.0 cpm
27.02.2023 12:24:42	3	4.1 cps	246.0 cpm
27.02.2023 12:24:43	4	4.3 cps	258.0 cpm
27.02.2023 12:24:44	5	4.3 cps	258.0 cpm
27.02.2023 12:24:45	6	4.4 cps	264.0 cpm
27.02.2023 12:24:46	5	4.8 cps	288.0 cpm
27.02.2023 12:24:47	6	5.0 cps	300.0 cpm
27.02.2023 12:24:48	5	5.2 cps	312.0 cpm
27.02.2023 12:24:49	3	4.9 cps	294.0 cpm
27.02.2023 12:24:50	3	4.8 cps	288.0 cpm
27.02.2023 12:24:51	1	4.1 cps	246.0 cpm
27.02.2023 12:24:52	10	4.8 cps	288.0 cpm
27.02.2023 12:24:53	3	4.7 cps	282.0 cpm
27.02.2023 12:24:54	4	4.6 cps	276.0 cpm
27.02.2023 12:24:55	6	4.6 cps	276.0 cpm
27.02.2023 12:24:56	2	4.3 cps	258.0 cpm
27.02.2023 12:24:57	3	4.0 cps	240.0 cpm
27.02.2023 12:24:58	6	4.1 cps	246.0 cpm
27.02.2023 12:24:59	0	3.8 cps	228.0 cpm
27.02.2023 12:25:00	2	3.7 cps	222.0 cpm
27.02.2023 12:25:01	1	3.7 cps	222.0 cpm
27.02.2023 12:25:02	3	3.0 cps	180.0 cpm
27.02.2023 12:25:03	7	3.4 cps	204.0 cpm
27.02.2023 12:25:04	0	3.0 cps	180.0 cpm
27.02.2023 12:25:05	1	2.5 cps	150.0 cpm
27.02.2023 12:25:06	4	2.7 cps	162.0 cpm
27.02.2023 12:25:07	3	2.7 cps	162.0 cpm
27.02.2023 12:25:08	5	2.6 cps	156.0 cpm
27.02.2023 12:25:09	2	2.8 cps	168.0 cpm
27.02.2023 12:25:10	4	3.0 cps	180.0 cpm
27.02.2023 12:25:11	7	3.6 cps	216.0 cpm
27.02.2023 12:25:12	5	3.8 cps	228.0 cpm
27.02.2023 12:25:13	1	3.2 cps	192.0 cpm
27.02.2023 12:25:14	3	3.5 cps	210.0 cpm
27.02.2023 12:25:15	7	4.1 cps	246.0 cpm
27.02.2023 12:25:16	0	3.7 cps	222.0 cpm
27.02.2023 12:25:17	2	3.6 cps	216.0 cpm
27.02.2023 12:25:18	8	3.9 cps	234.0 cpm
27.02.2023 12:25:19	3	4.0 cps	240.0 cpm
27.02.2023 12:25:20	5	4.1 cps	246.0 cpm
27.02.2023 12:25:21	3	3.7 cps	222.0 cpm
27.02.2023 12:25:22	6	3.8 cps	228.0 cpm
27.02.2023 12:25:23	5	4.2 cps	252.0 cpm
27.02.2023 12:25:24	9	4.8 cps	288.0 cpm
27.02.2023 12:25:25	8	4.9 cps	294.0 cpm
27.02.2023 12:25:26	3	5.2 cps	312.0 cpm
27.02.2023 12:25:27	2	5.2 cps	312.0 cpm
27.02.2023 12:25:28	3	4.7 cps	282.0 cpm
27.02.2023 12:25:29	3	4.7 cps	282.0 cpm
27.02.2023 12:25:30	6	4.8 cps	288.0 cpm
27.02.2023 12:25:31	1	4.6 cps	276.0 cpm
27.02.2023 12:25:32	4	4.4 cps	264.0 cpm
27.02.2023 12:25:33	10	4.9 cps	294.0 cpm
27.02.2023 12:25:34	7	4.7 cps	282.0 cpm
27.02.2023 12:25:35	5	4.4 cps	264.0 cpm
27.02.2023 12:25:36	6	4.7 cps	282.0 cpm
27.02.2023 12:25:37	1	4.6 cps	276.0 cpm
27.02.2023 12:25:38	2	4.5 cps	270.0 cpm
27.02.2023 12:25:39	5	4.7 cps	282.0 cpm
27.02.2023 12:25:40	3	4.4 cps	264.0 cpm
27.02.2023 12:25:41	2	4.5 cps	270.0 cpm
27.02.2023 12:25:42	2	4.3 cps	258.0 cpm
27.02.2023 12:25:43	5	3.8 cps	228.0 cpm
27.02.2023 12:25:44	10	4.1 cps	246.0 cpm
27.02.2023 12:25:45	8	4.4 cps	264.0 cpm
27.02.2023 12:25:46	3	4.1 cps	246.0 cpm
27.02.2023 12:25:47	0	4.0 cps	240.0 cpm
27.02.2023 12:25:48	3	4.1 cps	246.0 cpm
27.02.2023 12:25:49	4	4.0 cps	240.0 cpm
27.02.2023 12:25:50	1	3.8 cps	228.0 cpm
27.02.2023 12:25:51	7	4.3 cps	258.0 cpm
27.02.2023 12:25:52	6	4.7 cps	282.0 cpm
27.02.2023 12:25:53	8	5.0 cps	300.0 cpm
27.02.2023 12:25:54	7	4.7 cps	282.0 cpm
27.02.2023 12:25:55	2	4.1 cps	246.0 cpm
27.02.2023 12:25:56	9	4.7 cps	282.0 cpm
27.02.2023 12:25:57	7	5.4 cps	324.0 cpm
27.02.2023 12:25:58	3	5.4 cps	324.0 cpm
27.02.2023 12:25:59	5	5.5 cps	330.0 cpm
27.02.2023 12:26:00	9	6.3 cps	378.0 cpm
27.02.2023 12:26:01	6	6.2 cps	372.0 cpm
27.02.2023 12:26:02	4	6.0 cps	360.0 cpm
27.02.2023 12:26:03	3	5.5 cps	330.0 cpm
27.02.2023 12:26:04	5	5.3 cps	318.0 cpm
27.02.2023 12:26:05	3	5.4 cps	324.0 cpm
27.02.2023 12:26:06	4	4.9 cps	294.0 cpm
27.02.2023 12:26:07	2	4.4 cps	264.0 cpm
27.02.2023 12:26:08	5	4.6 cps	276.0 cpm
27.02.2023 12:26:09	5	4.6 cps	276.0 cpm
27.02.2023 12:26:10	3	4.0 cps	240.0 cpm
27.02.2023 12:26:11	4	3.8 cps	228.0 cpm
27.02.2023 12:26:12	1	3.5 cps	210.0 cpm
27.02.2023 12:26:13	2	3.4 cps	204.0 cpm
27.02.2023 12:26:14	2	3.1 cps	186.0 cpm
27.02.2023 12:26:15	5	3.3 cps	198.0 cpm
27.02.2023 12:26:16	6	3.5 cps	210.0 cpm
27.02.2023 12:26:17	2	3.5 cps	210.0 cpm
27.02.2023 12:26:18	3	3.3 cps	198.0 cpm
27.02.2023 12:26:19	6	3.4 cps	204.0 cpm
27.02.2023 12:26:20	2	3.3 cps	198.0 cpm
27.02.2023 12:26:21	3	3.2 cps	192.0 cpm
27.02.2023 12:26:22	6	3.7 cps	222.0 cpm
27.02.2023 12:26:23	3	3.8 cps	228.0 cpm
27.02.2023 12:26:24	6	4.2 cps	252.0 cpm
27.02.2023 12:26:25	1	3.8 cps	228.0 cpm
27.02.2023 12:26:26	3	3.5 cps	210.0 cpm
27.02.2023 12:26:27	8	4.1 cps	246.0 cpm
27.02.2023 12:26:28	6	4.4 cps	264.0 cpm
27.02.2023 12:26:29	5	4.3 cps	258.0 cpm
27.02.2023 12:26:30	3	4.4 cps	264.0 cpm
27.02.2023 12:26:31	2	4.3 cps	258.0 cpm
27.02.2023 12:26:32	3	4.0 cps	240.0 cpm
27.02.2023 12:26:33	2	3.9 cps	234.0 cpm
27.02.2023 12:26:34	2	3.5 cps	210.0 cpm
27.02.2023 12:26:35	7	4.1 cps	246.0 cpm
27.02.2023 12:26:36	4	4.2 cps	252.0 cpm
27.02.2023 12:26:37	5	3.9 cps	234.0 cpm
27.02.2023 12:26:38	1	3.4 cps	204.0 cpm
27.02.2023 12:26:39	4	3.3 cps	198.0 cpm
27.02.2023 12:26:40	1	3.1 cps	186.0 cpm
27.02.2023 12:26:41	2	3.1 cps	186.0 cpm
27.02.2023 12:26:42	4	3.2 cps	192.0 cpm
27.02.2023 12:26:43	5	3.5 cps	210.0 cpm
27.02.2023 12:26:44	2	3.5 cps	210.0 cpm
27.02.2023 12:26:45	5	3.3 cps	198.0 cpm
27.02.2023 12:26:46	4	3.3 cps	198.0 cpm
27.02.2023 12:26:47	9	3.7 cps	222.0 cpm
27.02.2023 12:26:48	2	3.8 cps	228.0 cpm
27.02.2023 12:26:49	1	3.5 cps	210.0 cpm
27.02.2023 12:26:50	6	4.0 cps	240.0 cpm
27.02.2023 12:26:51	6	4.4 cps	264.0 cpm
27.02.2023 12:26:52	2	4.2 cps	252.0 cpm
27.02.2023 12:26:53	3	4.0 cps	240.0 cpm
27.02.2023 12:26:54	5	4.3 cps	258.0 cpm
27.02.2023 12:26:55	12	5.0 cps	300.0 cpm
27.02.2023 12:26:56	4	5.0 cps	300.0 cpm
27.02.2023 12:26:57	4	4.5 cps	270.0 cpm
27.02.2023 12:26:58	0	4.3 cps	258.0 cpm
27.02.2023 12:26:59	5	4.7 cps	282.0 cpm
27.02.2023 12:27:00	2	4.3 cps	258.0 cpm
27.02.2023 12:27:01	4	4.1 cps	246.0 cpm
27.02.2023 12:27:02	2	4.1 cps	246.0 cpm
27.02.2023 12:27:03	4	4.2 cps	252.0 cpm
27.02.2023 12:27:04	6	4.3 cps	258.0 cpm
27.02.2023 12:27:05	0	3.1 cps	186.0 cpm
27.02.2023 12:27:06	7	3.4 cps	204.0 cpm
27.02.2023 12:27:07	4	3.4 cps	204.0 cpm
27.02.2023 12:27:08	1	3.5 cps	210.0 cpm
27.02.2023 12:27:09	4	3.4 cps	204.0 cpm
27.02.2023 12:27:10	5	3.7 cps	222.0 cpm
27.02.2023 12:27:11	5	3.8 cps	228.0 cpm
27.02.2023 12:27:12	5	4.1 cps	246.0 cpm
27.02.2023 12:27:13	5	4.2 cps	252.0 cpm
27.02.2023 12:27:14	5	4.1 cps	246.0 cpm
27.02.2023 12:27:15	3	4.4 cps	264.0 cpm
27.02.2023 12:27:16	6	4.3 cps	258.0 cpm
27.02.2023 12:27:17	7	4.6 cps	276.0 cpm
27.02.2023 12:27:18	2	4.7 cps	282.0 cpm
27.02.2023 12:27:19	2	4.5 cps	270.0 cpm
27.02.2023 12:27:20	6	4.6 cps	276.0 cpm
27.02.2023 12:27:21	5	4.6 cps	276.0 cpm
27.02.2023 12:27:22	7	4.8 cps	288.0 cpm
27.02.2023 12:27:23	8	5.1 cps	306.0 cpm
27.02.2023 12:27:24	2	4.8 cps	288.0 cpm
27.02.2023 12:27:25	6	5.1 cps	306.0 cpm
27.02.2023 12:27:26	10	5.5 cps	330.0 cpm
27.02.2023 12:27:27	1	4.9 cps	294.0 cpm
27.02.2023 12:27:28	9	5.6 cps	336.0 cpm
27.02.2023 12:27:29	1	5.5 cps	330.0 cpm
27.02.2023 12:27:30	5	5.4 cps	324.0 cpm
27.02.2023 12:27:31	2	5.1 cps	306.0 cpm
27.02.2023 12:27:32	5	4.9 cps	294.0 cpm
27.02.2023 12:27:33	4	4.5 cps	270.0 cpm
27.02.2023 12:27:34	7	5.0 cps	300.0 cpm
27.02.2023 12:27:35	1	4.5 cps	270.0 cpm
27.02.2023 12:27:36	3	3.8 cps	228.0 cpm
27.02.2023 12:27:37	5	4.2 cps	252.0 cpm
27.02.2023 12:27:38	1	3.4 cps	204.0 cpm
27.02.2023 12:27:39	2	3.5 cps	210.0 cpm
27.02.2023 12:27:40	4	3.4 cps	204.0 cpm
27.02.2023 12:27:41	5	3.7 cps	222.0 cpm
27.02.2023 12:27:42	4	3.6 cps	216.0 cpm
27.02.2023 12:27:43	5	3.7 cps	222.0 cpm
27.02.2023 12:27:44	1	3.1 cps	186.0 cpm
27.02.2023 12:27:45	2	3.2 cps	192.0 cpm
27.02.2023 12:27:46	8	3.7 cps	222.0 cpm
27.02.2023 12:27:47	5	3.7 cps	222.0 cpm
27.02.2023 12:27:48	10	4.6 cps	276.0 cpm
27.02.2023 12:27:49	3	4.7 cps	282.0 cpm
27.02.2023 12:27:50	2	4.5 cps	270.0 cpm
27.02.2023 12:27:51	3	4.3 cps	258.0 cpm
27.02.2023 12:27:52	9	4.8 cps	288.0 cpm
27.02.2023 12:27:53	7	5.0 cps	300.0 cpm
27.02.2023 12:27:54	2	5.1 cps	306.0 cpm
27.02.2023 12:27:55	4	5.3 cps	318.0 cpm
27.02.2023 12:27:56	5	5.0 cps	300.0 cpm
27.02.2023 12:27:57	4	4.9 cps	294.0 cpm
27.02.2023 12:27:58	3	4.2 cps	252.0 cpm
27.02.2023 12:27:59	5	4.4 cps	264.0 cpm
27.02.2023 12:28:00	2	4.4 cps	264.0 cpm
27.02.2023 12:28:01	6	4.7 cps	282.0 cpm
27.02.2023 12:28:02	8	4.6 cps	276.0 cpm
27.02.2023 12:28:03	5	4.4 cps	264.0 cpm
27.02.2023 12:28:04	4	4.6 cps	276.0 cpm
27.02.2023 12:28:05	7	4.9 cps	294.0 cpm
27.02.2023 12:28:06	2	4.6 cps	276.0 cpm
27.02.2023 12:28:07	5	4.7 cps	282.0 cpm
27.02.2023 12:28:08	4	4.8 cps	288.0 cpm
27.02.2023 12:28:09	2	4.5 cps	270.0 cpm
27.02.2023 12:28:10	3	4.6 cps	276.0 cpm
27.02.2023 12:28:11	2	4.2 cps	252.0 cpm
27.02.2023 12:28:12	3	3.7 cps	222.0 cpm
27.02.2023 12:28:13	3	3.5 cps	210.0 cpm
27.02.2023 12:28:14	12	4.3 cps	258.0 cpm
27.02.2023 12:28:15	3	3.9 cps	234.0 cpm
27.02.2023 12:28:16	3	4.0 cps	240.0 cpm
27.02.2023 12:28:17	2	3.7 cps	222.0 cpm
27.02.2023 12:28:18	5	3.8 cps	228.0 cpm
27.02.2023 12:28:19	7	4.3 cps	258.0 cpm
27.02.2023 12:28:20	5	4.5 cps	270.0 cpm
27.02.2023 12:28:21	3	4.6 cps	276.0 cpm
27.02.2023 12:28:22	6	4.9 cps	294.0 cpm
27.02.2023 12:28:23	2	4.8 cps	288.0 cpm
27.02.2023 12:28:24	5	4.1 cps	246.0 cpm
27.02.2023 12:28:25	7	4.5 cps	270.0 cpm
27.02.2023 12:28:26	6	4.8 cps	288.0 cpm
27.02.2023 12:28:27	5	5.1 cps	306.0 cpm
27.02.2023 12:28:28	7	5.3 cps	318.0 cpm
27.02.2023 12:28:29	1	4.7 cps	282.0 cpm
27.02.2023 12:28:30	5	4.7 cps	282.0 cpm
27.02.2023 12:28:31	2	4.6 cps	276.0 cpm
27.02.2023 12:28:32	2	4.2 cps	252.0 cpm
27.02.2023 12:28:33	7	4.7 cps	282.0 cpm
